review_text|review_author|review_date
YA REALICE LA ENCUENTA , VAMOS A VER SI NO ME SECUESTRAN JAJAJAJA|Rusbel|29-may-2019
Siempre dicen que por un rastrillo prostituir mi informacion  y hasta el final salen bien contentos como con sus boletos de cinepolis de liverpool ...al momento de recibirlos ya andaban inmediatamente canjeandolos  jajaja ya ni se acordaron de su robo de datos jaja|marianna.lane|29-may-2019
Que arda este ofertón!!!! gracias|Kotal|29-may-2019
BenSol|marianna.lane|29-may-2019
nickelieli|No_Soy1Robot|29-may-2019
De que quieren nuestros datos obvio los quieren y los están obteniendo |LauraBozo|30-may-2019
¿Alguien recibió un correo de confirmación o algo al hacer la encuesta?|tu-jefa.en-tanga|30-may-2019
mayli|Ckristy|30-may-2019
Ckristy|mayli|30-may-2019
mayli|Ckristy|30-may-2019
Haber si llega|IsraelGL1|30-may-2019
Listo, de nuevo le vendí mi alma al diablo por algo gratis jajaja|jimmy.becerra|30-may-2019
A Mí Ya Me Llegó!!!  |Sabroxodetodo|30-may-2019
Ckristy|mayli|30-may-2019
Sabroxodetodo|Eduardo_RangelP5x|30-may-2019
Sabroxodetodo|dejavu7xy|30-may-2019
crasha.villegas|Eduardo_RangelP5x|30-may-2019
LaloHdzA|Mahokka|30-may-2019
Sabroxodetodo|Mahokka|30-may-2019
Mahokka|Sabroxodetodo|30-may-2019
Listo, yo ni me rasuro, pero un rastrillo gratis no se le niega a nadie.|Arma95|30-may-2019
Sabroxodetodo|Eduardo_RangelP5x|30-may-2019
Sabroxodetodo|Sabroxodetodo|30-may-2019
Eduardo_RangelP5x|Sabroxodetodo|30-may-2019
Si a alguien le llega que avise|om.mondragon|31-may-2019
ni diy mis ditis pirsinilis|lalo_alvarado|29-may-2019
Listo, ahora a esperar.   |jm-promodescuentero|29-may-2019
Gracias bro.|CABROONETWORK2020|29-may-2019
Gracias, esperemos llegue antes de que sea un ermitaño   |strimmer|29-may-2019
Ya lo hice. De por sí me espían hasta en el baño.|LaloHdzA|29-may-2019
Gracias|Edgar2017|29-may-2019
Gracias|OwlDorado|29-may-2019
-Vendí mi alma al diablo. -¿Y qué te dió a cambio? -Un rastrillo Gilette, ¡pero un Mach3!|Xesc.SolsonaRipoll|29-may-2019
Uff gracias, cuando llegue ya lo voy a poder usar en mi barbita de adolescente|martinjesus.magallanesmir|29-may-2019
Gratis, hasta me dejo dar unos madrazos|Artik|29-may-2019
Me uno a la lista , gracias!  |humbertocc321|29-may-2019
Gracias va mi +, a ver  si llega, yo le puse el cp en el espacio de dirección|manzano486|29-may-2019
Listo, ojala que si llegue, gracias|Denkerlux|29-may-2019
john.constantine|pennywise|29-may-2019
Elmanolo|pennywise|29-may-2019
pennywise|john.constantine|29-may-2019
john.constantine|Robert0|29-may-2019
john.constantine|pennywise|29-may-2019
Robert0|pennywise|29-may-2019
Damasa|Ivanhc7|29-may-2019
listo gracias, va su +|Hdez|29-may-2019
Pues a ver si llega para empezar  |Rodrigo_Santiago|29-may-2019
Gracias paps|DavidEdgardoCervantesLope|29-may-2019
habra que esperar a ver si llega, gracias|hugo.cesar|29-may-2019
Damasa|Noeh_|29-may-2019
Oboscor|ludiazhe1|29-may-2019
Listo, esperemos que llegue. Muchas gracias!|Garay|29-may-2019
ya no voy a traer las piernas peludas!!|mayli|29-may-2019
mayli|Shadowyas|29-may-2019
Después de dar toda mi información personal|Edgar_Omar|29-may-2019
Edgar_Omar|Trending_GamePlay|29-may-2019
Gracias|Carlosgebi|29-may-2019
En donde más regalo mi información personal por un producto?|jesus.mg|29-may-2019
Yo ni me rasuro, peo es gratis!!! Gracias   |Paletas|29-may-2019
Seguro eres un empresario multinacional, tranquilo, solo es una encuesta que si quieres haces y si no, no! Nadie está obligado a hacerlo|Junior_Diaz|29-may-2019
Muchas gracias|RicMR83|29-may-2019
Crakisteles|armando.jes|29-may-2019
Mis datos ya los tienen hasta los marcianos, asi que venga denme mi rastrillo !|Wolfmoon|29-may-2019
Crakisteles|PeppaPig|29-may-2019
Sobres!! A esperar|Osvaldo_HdezH|29-may-2019
Haber si llega  |rock_racso|29-may-2019
Crakisteles|john.constantine|29-may-2019
Si los mandan pero tardan un mes, vienen por correos. |elavatar|29-may-2019
A esperar, gracias +|Jumae|29-may-2019
Listo!|Jandete36|29-may-2019
Haber dijo el ciego|Trending_GamePlay|29-may-2019
Listo|ROQUESOFT|29-may-2019
Yo ni barba tengo e igual la pedí. It's free!  |Elmanolo|29-may-2019
Gracias|Abi_Fonsii|29-may-2019
Creo q solo quieren info por q para enviar a una parte y no pedir codigo postal ya es muy raro|Edgar.Vela|29-may-2019
Listo, gracias y aver si llega|Lanudo1|29-may-2019
Encuesta contestado solamente esperar a que llegue|wolfman|29-may-2019
Gracias !!!|Lucax|29-may-2019
elavatar|OmmarVentura|29-may-2019
Estás promociones nunca llegan sigo esperando varias, he leído los términos y no especifican limitaciones en la zona de entrega y aclaro no vivo en un cerro ni nada en Puebla, Pues.|Troppo|29-may-2019
Listo, un rastrillo por prostituir mi información!!!|Damasa|29-may-2019
Troppo|elavatar|29-may-2019
Ah qué fácil se vende el alma ....|nachitus|29-may-2019
Gracias por el aviso!! Ahora a esperar !!!!|Temp2000|29-may-2019
muchas gracias por compartir   |The_Dude|29-may-2019
PeppaPig|Cantankerous|31-may-2019
luis.hernandezmer|Cantankerous|31-may-2019
Crakisteles|Cantankerous|31-may-2019
Nunca me llegó ...|Empédocles|31-may-2019
Todo sea por un rastrillo gratis   |JuanJos|31-may-2019
A qué horas empiezan las llamadas de extorsión?|eduardo_gomezHbw|31-may-2019
ya expiro|EdsonDragneel|31-may-2019
No abre la página|luisinio|31-may-2019
Woww de dónde eres ?|Shadowyas|31-may-2019
Sabroxodetodo|Cabr|31-may-2019
Cabr|Kotal|1-jun-2019
Yo. Creo llegaran hasta el lunes eso espero lml que ise como 5 encuestas con datos diferentes jaja lml|david.hernandeziN8|1-jun-2019
No hay manera de rastrear el envío? Jajajajajaja|sergiomanuel_portillocast|1-jun-2019
Ralberto|Fernando_Castillejos|29-may-2019
No entiendo como contesto la encuesta, si ni tengo barba. !!|Jorge_xXCruziitOXx|29-may-2019
Sera verdad?|romaán.chabelo|29-may-2019
Gracias, un correo más suscrito al spam que llegará a mi correo|Albert.Balak|29-may-2019
Gracias!!|EricGomez|29-may-2019
Listo, a ver si llega!|HuGOT|29-may-2019
Cómo quiera mis datos los tiene Google, facebook, promodescuentos y mi vecina.|Guillermo_Alvarez|29-may-2019
Ya regale mis datos que vengan los regalos|blackwolfo|29-may-2019
Antes les preocupaba que alguien supiera su nombre y ahora venden todo por un rastrillo jajaja|Andresmen|29-may-2019
Listo, ya quedo, a esperar el regalo.|chava.sanchez|29-may-2019
Listo, otro más que regala sus datos |AlexGonzalezMX|29-may-2019
Saben si es la que se cambia de cartuchos?   |Leonardoruthless|29-may-2019
Gracias!  |Santy.Nuez|29-may-2019
vanessa.romeroCxa|manuel.galvandc6|29-may-2019
De verdad se preocupan por sus datos personales? Supongo que esas personas no usan ninguna red social, ni celular, ni ningún tipo de dispositivo que ya tiene más que guardados sus datos   |markoelprototipo|29-may-2019
Pues ya pronto necesitare navajas nuevas haber si lkega antes :u|jordy.emmanuel|29-may-2019
Si no tienen nada que agradecer salten de publicación, chismosos querían regalado y sin dar sus datos |luis.hernandezmer|29-may-2019
Madreeeeeessss , no creo que me llegue, no puse mi código postal|Cabr|29-may-2019
Dadas, hasta puñaladas!!|Ebrik|29-may-2019
Ya tienen mi dirección, pero no mi nombre verdadero,utilice el nombre de ciudadano ,ya que mi nombre de súper héroe lo mantengo en secreto  |Oscarvm14|29-may-2019
Pues ya la mande, a ver si llega|Lizard_k|29-may-2019
alm puse el domicilio de un primo jajajaja|will.king|29-may-2019
JulioPlascencia|Jesusiinn|29-may-2019
Artik|Lu_|29-may-2019
A esperar si llega, gracias!!!|avatar13|29-may-2019
pennywise|Lu_|29-may-2019
George_Pig|Lu_|29-may-2019
Lu_|George_Pig|29-may-2019
GRACIAS ya hice la encuesta y se la pase a mis amigos espero que no hagan mal uso de los datos despues xD|sergioae|29-may-2019
y si  me mandan al chico de la foto del rastrillo doy hasta las escrituras de mi casa geo 😁😁😁  |Lu_|29-may-2019
Ralberto|E.Arellano_Rivera|29-may-2019
E.Arellano_Rivera|Ralberto|29-may-2019
sergioae|marianna.lane|29-may-2019
Ralberto|E.Arellano_Rivera|29-may-2019
Ralberto|Luise.Anchevida|29-may-2019
mis pelos lo agradecen, total |Lu_|29-may-2019
IgnisBellator|usuariotres|29-may-2019
Gracias|IchisBack|29-may-2019
jaja pues esperemos llegue xD|Ross_Cg|29-may-2019
Jesusiinn|JulioPlascencia|29-may-2019
A alguien le llego correo o no llega ningun aviso?.|ChillySkiwy|29-may-2019
Vamos a ver si llega, va mi +|Erimar|29-may-2019
Servira para bellos polacos?|gerardo.serrano|29-may-2019
Suena como secuestro a cambio de un rastrillo  |Alexis_Guevara|29-may-2019
Gracias, respondí los más rápido posible, espero que me llegue pues ni me pidió código postal|Lalo_joseph|29-may-2019
No me voy a rasurar hasta que llegue mi rastrillo gratis he dicho|oema91|29-may-2019
Ya lo hice, puse el nombre de mi hermano y la direccion de su casa|George_Pig|29-may-2019
No es mentira?|Kuitlahuak008|29-may-2019
Tomen mis datos y quiero mi rastrillo|Flipado666|29-may-2019
gracias|Shinji01|29-may-2019
No me gusta regalar mis datos personales a cambio de un rastrillo.|BenSol|29-may-2019
si ya tienen nuestros datos gratis en todos lados, al menos Gillete te da algo   |JulioPlascencia|29-may-2019
Se puede recoger en sucursales por ejemplo fedex, dhl|AlanMan|29-may-2019
George_Pig|L.Figueroa|29-may-2019
Es segura la página??|alberto.ventura|29-may-2019
lalo_alvarado|yRider|29-may-2019
George_Pig|PeppaPig|29-may-2019
Mmm, no se...no es que sea falso, pero dar los datos personales a alguien mas, digo, ya los tienen varias entidades como los bancos, pero basicamente lo minimo es permitir a alguien mas que te este llamando para promociones o algo asi. El rastrillo como tal cuesta algo asi como 100 pesos, yo voy a pasar esta vez. Gracias...va mi +|Snapper88|29-may-2019
Ya registre mis datos pero no lo se me parece extraño que no me pidan mi código postal para el envío, creo que di mis datos de a grátis|vanessa.romeroCxa|29-may-2019
vanessa.romeroCxa|Alex_HernandezwCq|29-may-2019
Creo que ya fue, le das al link y te envía a la página principal y no a la encuesta  |Alberto-MAT|29-may-2019
Me manda a esta página, ya murió?|armando.ayala|29-may-2019
armando.ayala|Alberto-MAT|29-may-2019
Ya murió, fue bueno mientras duró.|Rovinstar|29-may-2019
elavatar|KokoGarcia|29-may-2019
No me abre la página. Ahora como daré mis datos a cambio de unos rastrillos  |GilianSkalari|29-may-2019
No_Soy1Robot|nickelieli|29-may-2019
yo creo que tenian limitado a cierto numero de unidades ya se han de haber agotado|sergioae|30-may-2019
Tampoco puse mi código postal   |Juan_HernandezCSM|30-may-2019
Vuelve a estar disponible mediante este link |BlackPhoenix|30-may-2019
BlackPhoenix|luistagle|30-may-2019
@Kino|luistagle|30-may-2019
Y si es página oficial? O a quien. Le regalaré mis datos jajaka|julioczar|30-may-2019
Jajaja tengo Google home que más me.pueden espiar????? Ya nada ya lo sabe toooooodoooo|cdisrra|30-may-2019
Super.|JavierGuerrero148|30-may-2019
Gracias, di mi identidad 2 veces ya con mis datos bancarios papu...|ROQUESOFT|30-may-2019
En que tiempo llegan?? Avisen si Les llega chicos plis|crasha.villegas|30-may-2019
Haber si este si me dura...|J_djesus|30-may-2019
Gracias, a ver si llega|moroco_topo|30-may-2019
Listo...di mis datos ojala me llegue|Rocio_Armeria|30-may-2019
