destination_name;total_reviews;destination_rating;review_date;review_rating;review_header;review_author;review_text
Disney Springs - Orlando;12653;45;21 de setembro de 2019;5;Local excelente para passear!!;DanielSampaio;Eu AMO passear nesse lugar, ver o movimento, apreciar as apresentações que ocorrem finalzinho da tarde e de noite. Existem muitas opções de restaurantes e bares para todos os públicos.. . I love walk in this place, to see peoples from differents countries and shows in the evening. There are many restaurants and pubs for all publics.
Disney Springs - Orlando;12653;45;15 de setembro de 2019;5;Excelente para passar algumas horas ou ir a um bom restaurante;M1217LYsandrag;Gosto muito de passear na Disney Springs, alguns restaurantes são imperdíveis, mas não se esqueça de fazer a reserva antecipadamente. As lojas de grife não são baratas mas vale a pena a visita. As lojas da Disney são enormes e possuem grande variedade de produtos Disney. O cheirinho da Chirardelli que fica na Disney Springs é fantástico!
Disney Springs - Orlando;12653;45;10 de setembro de 2019;5;Passeio na Disney Springs;Brian C;Gostamos muito do novo ambiente da Disney. A Disney Springs reuni varias lojas e restaurantes, além de ser um local muito bonito, podemos tomar um Drink ou um cerveja. Ótima opção para um dia de intervalo entre dois dias de parque e após um dia rodando nos outlets/ Ross/ Burlington.. Estacionamento fácil e gratuito.. Bebedouros próximos ao banheiros.. Local pra família ou passeio de casal.. Vale a pena um jantar em de seus restaurantes temáticos.
Disney Springs - Orlando;12653;45;8 de setembro de 2019;5;Lugar incrível;FTC_SP;Lugar incrível para visitar! Lindo local, muitas lojas e restaurantes... encontra de tudo. A lojas: NBA, Coca-Cola e Irish Pub são imperdíveis. Estacionamento grátis. Vale muito o passeio.
Disney Springs - Orlando;12653;45;6 de setembro de 2019;5;Bom pra passear a noite;jorgesB4578TK;Espaço com diversas lojas e restaurantes. Estacionamento é gratuito. Muito legal para passear com a família e amigos. Várias opções pra todo gosto. Recomendo
Disney Springs - Orlando;12653;45;4 de setembro de 2019;5;Um lugar incrível para se divertir, comer, comprar.;GladisHelena2014;Um complexo de lojas, restaurantes, lanchonetes ao ar livre, seguro, com muitas opções e um toque Disney em tudo. Movimentado, com estacionamento gratuito, acessibilidade e público bem heterogêneo. Jantamos no restaurante temático T-REX café. Ambientação incrível, comida nem tanto.
Disney Springs - Orlando;12653;45;31 de agosto de 2019;5;Para curtir;Valmirelihimas;Local destinado a diversão e compras ,grande variedade de bares e restaurantes,loja grande da LEGO e fácil estacionamento gratuito,gostei bastante
Disney Springs - Orlando;12653;45;30 de agosto de 2019;5;Lugar lindo para passear;sorayacsousa;Um shopping temático Disney , bem decorado, com lojas variadas, bons restaurantes e uma delícia para passar o dia.
Disney Springs - Orlando;12653;45;16 de agosto de 2019;5;Gostei muito!;gettuliocostta;Vou tentar passar a minha experiência lá pra te ajudar, ok? Fui com minha esposa, filha pequena e minha sobrinha. O lugar é cheio de lojas e muito bem estruturado, afinal é da Disney. Se você tiver dificuldade com o inglês, lá existem ajudantes brasileiros que podem te ajudar no que você precisar. Se prepare para enlouquecer com as lojas (Sephora, Coca Cola, Uniqlo, Lego, Disney Store, Zara). Para comer indico o Blaze pizzaria na qual você monta sua pizza (muito frequentada; aconselho enquanto você faz o pedido, outra pessoa procurar mesa pra sentar). O estacionamento é gratuito e coberto. Banheiros limpos!!!!
Disney Springs - Orlando;12653;45;12 de agosto de 2019;5;Mais um programa imperdível;Gustavo_Barros_Rec;A turma da Disney sabe o que faz. Todo reformado com novas lojas. Ficamos um bom tempo na NBA e Star Wars. Fomos num Pub Irlandês que amamos.
Disney Springs - Orlando;12653;45;12 de agosto de 2019;5;Um excelente lugar para compras e refeições;apardelinha;Um lugar com várias lojas e restaurantes. Funciona até tarde e vale a visita.Para quem está sem carro, tem ponto de táxi na saída.
Disney Springs - Orlando;12653;45;7 de agosto de 2019;5;Ótimo pra passear e dar uma relaxada entre os dias de visita aos parques.;Fernando_Klabacher;Complexo da Disney com entrada e estacionamento gratuitos. Muita diversão e gastronomia garantidas.. Lá você vai encontrar a maior de todas as lojas da Disney, Coca Cola, Lego, Zara e muitas outras. mas não vá esperando preços tão interessantes, para compras é melhor deixar para os Outlets. Em Disney Springs, o melhor é sentar, beber e comer alguma coisa e dar uma passeada, o cenário é incrível.
Disney Springs - Orlando;12653;45;4 de agosto de 2019;5;Passeio bacana;C8517ZGrobertom;Lugar legal para curtir, jantar, passear com a família , tomar um chopp e gastar uns U$ nas lojas. lá tem a maior loja da Disney.
Disney Springs - Orlando;12653;45;25 de julho de 2019;5;Revisitando em 2019;Kdu1303;Lugar excelente com ótimas opções tanto de restaurantes como lojas e apenas para uma boa passeada. Tem muitas boas opções e com uma qualidade que bem sabem fazer. Na vez passada que estive lá se chamava Downtown Disney e agora, me pareceu muito mais organizado, com novas atrações e melhores restaurantes. Uma boa repaginada no que já era bom.. Vale muito a pena a visita. Pra quem está indo pela primeira vez, VÁ. Sem dúvida alguma um ótimo passeio.
Disney Springs - Orlando;12653;45;23 de julho de 2019;5;Lugar mágico;fabianadelamare;O lugar é especial ! Ótimo para compras, passeios e muita diversão para todos Os gostos e idades. Tem lojas e restaurantes, maior loja da Disney e um loja enorme da Lego. Além de mil outras atrações.
Disney Springs - Orlando;12653;45;23 de julho de 2019;5;Vale a visita;Patricia C;Esse é um lugar bom para um passeio. Além dos inúmeros restaurantes e lojas há sempre algum show de artistas locais. É uma atmosfera parecida com a dos parques...música, luzes, alegria...para quem vai com crianças pequenas há restaurantes temáticos ( Rainforest e TRex), que são atrações a parte da comida... melhor reservar com antecedência pq estão sempre lotados. Há uma loja da Lego onde há peças disponíveis para entreter as crianças por alguns minutos, além das estátuas de Lego que são fantásticas e muito detalhadas...valem algumas fotos. Como não poderia faltar, há uma enorme loja da Disney onde são vendidos brinquedos, roupas, fantasias, mochilas, coisas para casa, enfim, praticamente de tudo ligado ao universo Disney. Há estacionamento gratuito no local.
Disney Springs - Orlando;12653;45;20 de julho de 2019;5;Amoooo;AnnaPaolaCiulla;Amoooo esse lugar, além de lindo, bem estruturado, tem lojas excelentes, como a da Coca Cola, ótimos restaurantes e mesmo para só passeio é uma delícia!!! Imperdível!!!
Disney Springs - Orlando;12653;45;19 de julho de 2019;4;Finado downtown disney;962fernandoc;A Disney fez um shopping aberto dentro do antigo downtown , lojas de qualidade , ambiente bonito e agradável , bons restaurante (maioria caro) , lagos artificiais , tem toda uma climatização o lugar . Vale a pena conhecer , destaque pra Uniqlo, ghirardeli , zara , miu miu e o rooftop do prédio da coca cola
Disney Springs - Orlando;12653;45;8 de julho de 2019;5;Passeio imperdível;lalabeka;É um grande shopping temático a céu aberto, maravilhoso! Tire uma tarde/noite para passear por lá. Visitamos no dia que chegamos em Orlando, um dia antes de ir no Magic Kingdom, pois lá tem locais para trocar os ingressos comprados online. Lugar lindo! Vale a pena visitar!
Disney Springs - Orlando;12653;45;8 de julho de 2019;5;Troca de ingressos e passeio;DanielSabbag;Depois da reforma ficou melhor ainda. Ótimo lugar para um passeio pelas lojas da Disney e com restaurantes bem interessantes. Tem boliche, cinema, circo e uma imensa loja da Disney. Aproveito o lugar para trocar os ingressos para os parques. Ah! O estacionamento não é pago.
Disney Springs - Orlando;12653;45;25 de junho de 2019;5;Fantástico!;felipecW7362RX;Um lindo e enorme shopping a céu aberto com inúmeras atividades, lojas, restaurantes e quiosques para todas as idades. Em todos os pequenos detalhes é possível se surpreender com a forma que a Disney faz as coisas. Recomendo demais.
Disney Springs - Orlando;12653;45;24 de junho de 2019;5;Ideal;Fernanda261168;Lugar ideal para ter uma noção do que é a Disney, esse você pode passear, fazer compras, bares, restaurantes e não precisa pagar para entrar, vale o passeio.
Disney Springs - Orlando;12653;45;22 de junho de 2019;5;Lugar lindo;nancylaura;Um lugar lindo para se passear, tem restaurantes para todos os gostos, cinema e varias atrações. Ótimos para se passear à noite em junho devido ao calor de Orlando. Tem atrações para crianças e adultos. Lugares de compras e uma loja da Lego maravilhosa.
Disney Springs - Orlando;12653;45;15 de junho de 2019;5;Lugar maravilhoso;PPU01;Lugar maravilhoso para passear, comer, curtir. Excelentes restaurantes, cafés, sorvetes, lojas para crianças (como Marvel Headquarters e Lego). Lugar bonito e de graça. Estacionamento de graça e super confortável (5 níveis e coberto). Lugar maravilhoso. Super recomendo.
Disney Springs - Orlando;12653;45;13 de junho de 2019;5;Lugar super agradável;Patricia R;Ótimo lugar para passear e conhecer restaurantes maravilhosos e lojas das mais luxuosas grifes, para quem está com crianças tem uma loja da Lego muito legal. Tem sempre um show acontecendo no palco bem no centro da disney Springs
Disney Springs - Orlando;12653;45;9 de junho de 2019;5;Lojinhas disney and restaurantes ótimos;WesleyGalvaoSoares;Um espaço Disney fora dos parques, ótimo para passear em um fiz do dia, jantar em bons restaurantes ou simplesmente passar o tempo. Estacionamento grátis.
Disney Springs - Orlando;12653;45;8 de junho de 2019;5;Excelente passeio;AlineCNP;Excelente lugar para passear, tanto de dia quanto de noite. Tem muitas lojas e restaurantes. Vá com tempo para conhecer.
Disney Springs - Orlando;12653;45;7 de junho de 2019;5;Maravilhoso !;Telma R;Pense em um lugar democrático , multicultural , que vc pode fazer compras ou não , ouvir uma boa música ao vivo , com varias opções de restaurantes ou um simples café ! Lindas vitrines , muita coisa linda para ver e curtir ! Você pode gastar ou não ! Só o fato de você estar ali , já vale o passeio ! Vale a pena ir ao Spring Disney !
Disney Springs - Orlando;12653;45;6 de junho de 2019;5;Disney Springs;Andreaut;Achei ótima as mudanças . Novas grifes que os brasileiros amam. Restaurantes para todos os gostos e bolsos. Enfim vale a visita.
Disney Springs - Orlando;12653;45;4 de junho de 2019;5;Otimo pra terminar o dia!;kikioliver;Um charme! Varias lojas e restaurabtes tematicos. Um otimo passeio para um fim de dia . Tem loja da Lego, Coca Cola...enfim! Vale a visita.
Disney Springs - Orlando;12653;45;4 de junho de 2019;5;Visita para o fim de tarde;Con_Aguiar;Vale muito a pena conhecer, como fomos em maio e os dias estavam absurdamente quentes. E estávamos com criança com 3 anos fomos pela manhã e não deu muito certo por causa do calor. Voltamos outro dia para o por do sol, simplesmente perfeito. Conheci quando ainda era o Downtown Disney e depois de 7 anos esse espaço cresceu e ficou ainda melhor. Imperdível!
Disney Springs - Orlando;12653;45;2 de junho de 2019;5;Vale muito a pena;fillipem2018;Uma ótima opção de passei sem pagar nada em Orlando, local com muitas atrações e diversão. Vale a pena de mais ir pra conhecer
Disney Springs - Orlando;12653;45;2 de junho de 2019;5;Um ótimo local para passear;CamillaL724;Um ótimo local para passear. Vários restaurantes e barzinhos legais, além de lojas TB. Aproveitei para pegar meus vouchers dos parques lá no Guest Relations, pq dei uma passeada e resolvi algo poupando o tempo. O estacionamento é gratuito.
Disney Springs - Orlando;12653;45;2 de junho de 2019;4;Lugar para ir a noite com a familia;clssantos;Área com diversos restaurantes, atrações e lojas ... uma Dica vá na primeira noite que chegar ao Disney Springs e com certeza vai entrar no clima da Disney !!!!
Disney Springs - Orlando;12653;45;27 de maio de 2019;4;Um lugar para conviver;AdriPR;A área do Disney Springs é especial! Um lugar para ir com amigos e a família para curtir o final de tarde, passear nas lojinhas, enfim, um lugar excelente para um passeio ou compras!
Disney Springs - Orlando;12653;45;26 de maio de 2019;5;Muito bacana;ricardo-tk15;Local bem bacana, várias opções de lojas, restaurantes, shows, vale a pena passar uma tarde ou uma noite no local. Bem mais completo que o city walk da universal. Melhor é que o estacionamento é grátis.
Disney Springs - Orlando;12653;45;25 de maio de 2019;5;Bom passeio com a família;Rodrigo M;Ótima ideia da Disney em criar um espaço bem grande com lojas, restaurantes e entretenimento para todo tipo de público, desde famílias com crianças a jovens solteiros. Quem vai a orlando deve passar por lá para conhecer o lugar A tarde o estacionamento é gratuito
Disney Springs - Orlando;12653;45;22 de maio de 2019;5;Ótima surpresa;13suelenf;Sensacional! Várias opções de restaurantes e lojas num ambiente super agradável... vários shows gratuitos ao ar livre de ótima qualidade. Recomendo a todos!
Disney Springs - Orlando;12653;45;16 de maio de 2019;5;Disney Spring;Emilia I;Disney Spring é um complexo com opções de compras, restaurantes como o T-Rex, Planet Hollywood e Rainforest Café, Starbucks, Ghirardelli Ice Cream e Chocolate Shop, vários entretenimentos, show ao vivo, passeio de balão com estacionamento e Wi-Fi gratuitos. Tem a loja da Disney, Lego, Zara, Sephora, Mac, Uniqlo e outras lojas de marcas famosas. É um local para fazer compras, comer e se divertir, mas a programação é feita mais rápidamente, dá para fazer tudo na metade do dia. Vale a pena conhecer.
Disney Springs - Orlando;12653;45;11 de maio de 2019;5;Belo passeio;BpSouza;Este local possui muitas lojas, bons restaurantes e é um lugar muito bonito para caminhar e desfrutar de um ambiente alegre e descontraído.
Disney Springs - Orlando;12653;45;9 de maio de 2019;4;Diversão;paulop990;O lugar è incrível, varias lojas,restaurantes e shows. È ótimo para criança, tem estacionamento gratis e internet tb.
Disney Springs - Orlando;12653;45;8 de maio de 2019;5;Parada Obrigatória!;Jeanne F;Se você vai para Orlando, Disney Springs é parada obrigatória! Um lugar maravilhoso para passear, lanchar, fazer compras, almoçar ou jantar!
Disney Springs - Orlando;12653;45;7 de maio de 2019;5;Excelente local para passeio;eduardop10;Lindo local para passeios, seja com família ou amigos. Tem vários tipos de restaurantes, lojas de roupas e presentes. Sem contar nas lojas temáticas. Tudo muito organizado do estacionamento aos locais.
Disney Springs - Orlando;12653;45;7 de maio de 2019;4;Disney Springs;Daniela G;Vale a visita se houver tempo. Lugar bonito e agradavel, porem é um lugar apenas para compras. Alguns restaurantes e apresentações.
Disney Springs - Orlando;12653;45;6 de maio de 2019;4;Vale a visita;CAFBDO;Local agradável para uma caminhada entre lojas e uma vista muito interessante. Aproveite para trocar os ingressos para os parques, ao lado da loja da Zara.
Disney Springs - Orlando;12653;45;6 de maio de 2019;4;Pra bater perna, comprar e comer;Lula_Becker;Sinceramente acho que eu gostava mais quando era Downtown Disney. Agora ficou gigante demais e você acaba precisando de mais de um dia (ou pelo menos um dia inteiro) pra conhecer bem.
Disney Springs - Orlando;12653;45;23 de abril de 2019;5;Muito bom;482cintiac;Local bem organizado apesar de lotado, com muitas opções para refeições, sobremesas, café e compras.recomendo.
Disney Springs - Orlando;12653;45;22 de abril de 2019;5;Lindo;430beatriza;Local lindo, com muitas lojas, barzinhos, estacionamento gratuito, quem estiver em orlando tire uma tarde ou a noite para passear por este lugar fantástico.
Disney Springs - Orlando;12653;45;21 de abril de 2019;5;Maravilhoso;clara080;Lugar lido, inspirador. Com muitos restaurantes legais e uma loja da Disney gigantesca onde até adulto vira cirança. A noite fica ainda mais bonito. Passeio imperdível.
Disney Springs - Orlando;12653;45;21 de abril de 2019;4;Lugar gostoso;anacarolinat110;Lugar amplo, com diversas opções de restaurantes pra todos os tipos de gostos . Lojas gigante da Disney.
Disney Springs - Orlando;12653;45;19 de abril de 2019;5;Vale muito a visita;MarceloVeloso;Ótimo lugar para passear, fazer refeições ou compras. Diversos restaurantes, diversos bares, muitas lojas para compras e muita gente passeando. Para que tem crianças há diversas opções como a enorme loja da Lego.
Disney Springs - Orlando;12653;45;19 de abril de 2019;5;Disney;Luciana B;Local maravilhoso, muito agradável, super recomendo conhecer, ótimos restaurantes para todos os bolsos e muitas lojas .
Disney Springs - Orlando;12653;45;14 de abril de 2019;4;Está incrível!;jullysbastos;Da última vez que viemos, ainda chamava-se Downtown Disney. Hoje há muitas outras opções de lugares para comer (adoramos o Earl of sandwich), para compras (uni qlo, zara, havaianas Disney Store e varias outras). E a Disney não decepciona: ainda mais bonito! Vale a visita! Tem estacionamento gratuito.
Disney Springs - Orlando;12653;45;13 de abril de 2019;3;Centro comercial da Disney;coelhofh;Para mum foi apenas uma viaita a um centro comercial com lojas de marcas consagradas, lojas da Disney e restaurantea tematicos.. A noite a vista é linda, tudo iluminado e com shows pontuais nas ruas.. Mas nao passa de um centro comercial. Nao visitaria duas vezes.
Disney Springs - Orlando;12653;45;13 de abril de 2019;5;Legal;FabianoA270;Muito bom para um final de tarde e ficar por ali para um jantar ou um lanche. Opções de restaurantes e lojas para todos os gostos.
Disney Springs - Orlando;12653;45;12 de abril de 2019;5;Adoro!;Aricontaaqui1;Adoro ir no Disney Springs, tem atividades para toda a família, restaurantes e muitas lojas. Tem a loja do LEGO, que é incrível e as crianças podem brincar e usar a criatividade montando o seu Lego.
Disney Springs - Orlando;12653;45;11 de abril de 2019;5;Tudo em um único lugar;tiagob525;Estivemos pela manhã, estacionamento grátis, várias opções de lojas e também muitas opções de restaurantes e food trucks, meu filho curtiu muito a loja da Lego, vale a pena a visita.
Disney Springs - Orlando;12653;45;10 de abril de 2019;5;Muito organizadp;Edmilson2003;Local com acesso e estacionamento grátis e com varias lojas da Disney e de outras marcas e além de vários shows musicas nos bares e restaurantes.
Disney Springs - Orlando;12653;45;5 de abril de 2019;5;Melhor lugar de entretenimento gratuito em Orlando;SauloFM;Acesso gratuito, estacionamento e vários shows ao vivo, além claro de lojas por todos os lados, lugar incrível.
Disney Springs - Orlando;12653;45;5 de abril de 2019;5;Lindo lugar para passear, compras e refeições;gabrielaj322;Visitamos Disney Springs pela manhã. O dia estava ensolarado e aproveitamos bem o local. O lugar é lindo e agradável. Tem ótimos restaurantes, e varias lojas com produtos Disney. Nosso filho de 6 anos curtiu muito a loja da Lego. Outro ponto positivo é o estacionamento que é sem custo.
Disney Springs - Orlando;12653;45;31 de março de 2019;4;Centro da Disney !;Natalia_pg30;Sempre lotado, mas tranquilo para andar e conhecer o local, possui muitas lojas de marca e restaurantes diferentes. Vale a pena entrar na loja da coca cola e subir até a cobertura para ver a vista, final da tarde fica muito lindo. Loja da Lego também é bem legal de conhecer, estacionamento gratuito sempre lotado mas dá pra achar vaga dentro de uns 15 minutos.
Disney Springs - Orlando;12653;45;30 de março de 2019;5;Vale a visita!!;873marciaf;Se conseguir assistir a pelo menos um show de música já vale muito a pena ter ido, não paga estacionamento nem ingresso!!
Disney Springs - Orlando;12653;45;21 de março de 2019;5;Passeio a Disney Springs...muito legal ...interessante ...e bom para compras;Helenita510;Gostei muito...muitas atraçoes e bons restaurantes ...lojas otimas para compras ...lugar excelente para passear
Disney Springs - Orlando;12653;45;20 de março de 2019;4;Agradável;cristinafernandes_rj;Local agradável para passear e ver o por do sol, trocar os ingressos pela magic band ou card, já para comprar não achei os preços atrativos.
Disney Springs - Orlando;12653;45;20 de março de 2019;5;Vale o passeio.;anitaf316;Tirem uma manhã ou final de tarde para noite para conhecer o local. Várias lojas (preços não acessíveis) achei tudo caro. A loja da Lego é sensacional. Passeio de balão para quem curte.
Disney Springs - Orlando;12653;45;17 de março de 2019;5;Passeio delicioso;cintiap184;Espaço muito gostoso , para andar, distrair, comprar ou ir a restaurantes. Muito diversificado. A noite tem ficado bem cheio, se as crianças não tiverem muita paciência evite.
Disney Springs - Orlando;12653;45;16 de março de 2019;5;Muito legal!;vanessarmond;Um espaço muito agradável, com vários restaurantes e muitas lojas. Vale a visita na loja da Disney, uma loja imensa com muitos produtos, a maior q eu vi! Comemos no Blaze pizza, uma pizza muito gostosa!!!! Amei o ambiente, estava vazio qdo fomos, então foi bem tranquilo andar, mas ainda assim, não percorremos tudo, é um espaço muito grande, mas valeu a visita com certeza!
Disney Springs - Orlando;12653;45;16 de março de 2019;5;Demais!! Super animado!!;laylafarias;Vários restaurantes, lojas, animação pura!! É a caminho da Universal e do island!! É show!! Depois do parque você curtir os restaurantes top que tem ali (bubba gump, planeta hollywood...) É show!! Não deixe de conhecer!! Lá tem sephora, loja oficial da Disney (gigante)...Lindo demais!!
Disney Springs - Orlando;12653;45;6 de março de 2019;4;Ponto de referência em Orkando;JulioLouredo;O local é central para as visitas aos parques da Disney. Já começa no momento de ir trocar os ingressos. Prefiro trocar em Disney Springs do que nas bilheterias dos parques. As opções gastronômicas são plurais. Há também muitas lojas por todo o complexo, especialmente para os fãs da marca Uniqlo.
Disney Springs - Orlando;12653;45;6 de março de 2019;5;Para uma noite agradável;deborasM4984FX;Espaço gourmet com restaurantes temáticos.... estacionamento? Muito amplo e gratuito!!!!. Gente, vale a pena conferir e jantar com a família ou amigos. Num dos espaços, não me recordo o nome, parece uma Selva, muito bacana! Adorei a substituição da Pleasure Island. Tem cinemas, e música ao vivo em varios barzinhos. Mês de Dezembro tinham árvores de natal devoradas com personagens e filmes da Disney muito lindo!!!
Disney Springs - Orlando;12653;45;6 de março de 2019;5;Lugar perfeito;PriHh;Este é um lugar que eu poderia ir todas as noites para passear, alem de ser gratuito tem coisas muito legais para se ver... cada bar ou restaurante com uma decoraççao mais perfeita que a outra... vale cada minuto que vc gasta lá
Disney Springs - Orlando;12653;45;4 de março de 2019;5;Local muito agradável. Estacionamento Grátis;MauricioPiracicaba;A Disney's Springs geralmente é o primeiro contato com Disney para quem chegou em Orlando.. Dependendo da hora de sua chegada, não resta muita coisa a não ser nesse dia ir ao Walmart ou Disney's Springs para trocar seus ingressos dos parques Disney.. Além de ter várias lojas (preços não são bons como nos Outlets), existem vários restaurantes e shows.. O estacionamento é gratuito e pode aproveitar sua estada para trocar os vouchers por ingressos, inclusive Magic Bands para os parques da Disney.
Disney Springs - Orlando;12653;45;3 de março de 2019;5;Complexo de Entretenimento da Disney;arianevillardi;Uma boa parada para um dia de folga dos parques, ou para ir após um dis exaustivo! Tem diversas lojas, restaurantes e muito lugar bacana para ótimas fotos!
Disney Springs - Orlando;12653;45;3 de março de 2019;5;Excelente lugar para passeio;juliabbcampos;Shopping a céu aberto que é ótimo para passear! Lá você encontra várias lojas, inclusive lojas de produtos da Disney que só tem lá! Fomos tanto de dia quanto de noite e é muito bom! Vale a pena a visita!
Disney Springs - Orlando;12653;45;3 de março de 2019;5;Disney Springs;Mariane_Ugalde;ótima pedida para depois de um dia de caminhada aos parques. Lugar lindo e com várias lojas e atrações. As luzes da noite o deixam mais bonito ainda!
Disney Springs - Orlando;12653;45;27 de fevereiro de 2019;5;Lugar ótimo para passear fora dos parques;deborahmonteiro;Disney Springs é um lugar que voce precisa conhecer!! La tem uma vida diurna tranquila para compras e uma vida noturna animadíssima para compras, bares, pubs, restaurantes e musica ao vivo.. La tem a loja oficial da Disney, onde vc encontra muitos itens e uma variedade de fantasias para as crianças!. Tem a loja Lego onde vc pode passear, brincar e comprar ou apenas tirar fotos e admirar as estatuas feitas de lego!. Uma experiência muito legal visitar este local, tem tudo por la então apenas divirta-se!!!
Disney Springs - Orlando;12653;45;17 de fevereiro de 2019;5;Muito Além de um Shopping;felipelan;Lugar lindo, completo e muito bem montado. Vale a visita durante o dia e também durante a noite. Passeio de balão sob o lago e os restaurantes e bares com música ao vivo são muito legais. A loja da Lego garante uma boa diversão das crianças.
Disney Springs - Orlando;12653;45;15 de fevereiro de 2019;5;Lugar lindoooo;ThaysOliveira;O Disney Springs é um tipo de shopping a céu aberto com ambiente, decoração e algumas lojas da Disney, porém não precisa pagar entrada. Tem estacionamento grátis. É um passeio lindo e q vale a pena para relaxar da correria dos parques.
Disney Springs - Orlando;12653;45;15 de fevereiro de 2019;4;Bom lugar para final de tarde;FernandaB1103;Lugar bom para um passeio de final de tarde e noite. Bons restaurantes e boas compras, mas tudo mais caro. Estacionamento gratuito.
Disney Springs - Orlando;12653;45;14 de fevereiro de 2019;5;Espaco muito agradavel;C261EGveras;E um local com lojas bem conceituadas, restaurantes e espacos para caminhadas a beira do lago. Estacionamento gratis. Muito agradavel. Especialmente nos finais de tarde e nas noites. Vale a visita.
Disney Springs - Orlando;12653;45;14 de fevereiro de 2019;5;Uma ótima opção de passeio!;SandraLapertosa;Uma ótima opção de passeio, grande, bonito e muito agradável. Com várias lojas, restaurantes e algumas atrações como passeio pelo lago de Amphicar e de Aerophile com um visual incrível!
Disney Springs - Orlando;12653;45;13 de fevereiro de 2019;5;Centro de compras.;julianabegli;Disney springs é um lugar repleto de lojas (zara, Melissa, uniclo, Columbia, uma loja gigantesca da Disney, loja da Coca Cola, entre muitas outras). Além disso alguns bares até com música ao vivo e restaurantes entre os mais conhecidos Rain forest e planet Hollywood. Vale a pena o passeio, tem um lindo balão, a noite tudo extremamente iluminado. Wi-Fi no local e estacionamento grátis.
Disney Springs - Orlando;12653;45;13 de fevereiro de 2019;5;Muito agradável;TheRock1000;Local bonito, lojas, restaurantes, lanchonetes. Tem q ir conhecer. Loja disney imensa. Loja lego, Uniqlo e mais
Disney Springs - Orlando;12653;45;13 de fevereiro de 2019;5;Lugar excelente para um passeio;Ivete73;Local com muitas lojas legais de marca, a Uniqlo uma loja otima para comprar jaquetas que ficam pequenas para carregar porem excelente para aquecer. Tem tambem o The Void, uma experiencia de Realidade Virtual do Star Wars ou da filme Detona Ralph que é simplesmente FANTASTICO. Vale muito a pena dar uma passada da Disney Spring para conhecer tudo e participar desta realidade virtual.
